# Open,High,Low,Volume,Close
6000,6110,5660,74195000,0.090599
5800,6060,5520,74680000,0.08274
5750,5780,5580,54390000,0.083333
5560,5670,5360,40305000,0.082147
5600,5770,5580,46880000,0.085558
5820,6100,5770,59745000,0.085558
5610,5740,5600,29220000,0.084816
5600,5740,5560,41190000,0.084668
5720,5880,5680,49375000,0.086447
6000,6180,5920,63505000,0.090451
6160,6160,5980,45260000,0.090451
6000,6040,5960,40205000,0.088375
5860,6040,5820,37315000,0.089561
5950,5980,5880,32535000,0.087189
5800,5900,5700,34355000,0.08452
5520,5640,5440,44250000,0.080664
5500,5520,5410,29285000,0.081257
5480,5620,5430,27900000,0.081851
5640,5880,5540,38315000,0.086299
5640,5730,5560,39630000,0.08274
5600,5680,5260,71470000,0.078885
5220,5370,5110,64105000,0.077847
5250,5460,4970,142765000,0.076068
5140,5330,5040,64140000,0.077699
5340,5480,5310,58460000,0.080516
5560,5720,5480,51050000,0.084816
5660,5880,5600,61845000,0.085409
5960,5960,5680,34660000,0.08452
5600,5660,5340,44140000,0.079775
5380,5420,5140,38315000,0.077106
5180,5200,4780,73115000,0.07414
4940,5100,4910,65185000,0.075326
5370,5630,5160,108750000,0.078588
5200,5260,5030,26485000,0.075178
5000,5240,5000,24180000,0.075919
5220,5260,5100,27720000,0.076216
5120,5240,5060,26075000,0.075178
5080,5150,4980,27875000,0.075919
5000,5050,4800,30140000,0.071174
4900,5140,4840,51820000,0.075919
5880,5880,5520,117750000,0.087189
6200,6250,5880,140990000,0.088968
6000,6050,5600,39150000,0.08363
5600,5640,5480,30070000,0.083333
5520,6000,5500,32460000,0.087782
5970,5980,5620,55890000,0.083333
5790,5800,5520,28605000,0.082147
5480,5490,5160,32215000,0.076809
5170,5380,5160,30060000,0.077254
5200,5400,5120,46105000,0.080071
5480,5520,5360,28795000,0.080071
5540,5560,5400,24080000,0.081257
5600,5710,5530,26365000,0.083926
5700,5940,5610,44925000,0.087189
5960,6300,5880,86975000,0.091934
6480,6580,6200,64950000,0.091934
6320,7120,6180,90260000,0.10083
6960,7040,6700,67730000,0.10083
6900,7260,6820,74425000,0.104241
7030,7680,6980,78090000,0.113582
7520,7560,7050,74645000,0.104537
6800,7070,6650,63855000,0.099348
6920,7320,6860,56805000,0.105279
7000,7290,6660,58340000,0.10083
6860,6960,6680,47235000,0.099051
6860,7260,6780,42355000,0.106762
7500,7500,7200,35885000,0.108244
7200,7200,6950,29075000,0.105279
6960,7030,6860,35250000,0.102461
6600,6680,6260,62365000,0.092823
5420,5750,5340,78050000,0.081851
6200,6240,5860,73730000,0.089561
6300,6460,5860,60615000,0.088968
5960,6160,5920,37335000,0.089265
6060,6180,5970,26425000,0.089709
5970,6030,5760,27830000,0.086002
5620,5760,5520,34900000,0.08363
5820,5860,5600,39290000,0.083037
5520,5700,5400,54110000,0.080071
5500,6100,5460,75530000,0.088968
6200,6530,6120,72335000,0.09312
6240,6260,6090,26585000,0.091637
6220,6360,6140,26100000,0.091637
6400,6700,6300,52695000,0.097272
6320,6390,6270,27620000,0.094158
6420,6440,6160,47170000,0.09134
6290,6530,6220,47120000,0.095492
6510,6800,6510,39620000,0.10083
7000,7340,6920,76235000,0.10261
6740,7000,6680,36580000,0.10083
6740,6900,6600,41450000,0.102313
6720,6830,6620,36385000,0.098903
6500,6700,6350,41290000,0.094603
6160,6370,5920,72150000,0.091934
6330,6380,5930,85965000,0.088968
5900,5990,5600,67100000,0.083037
5260,5680,5240,67130000,0.080961
6000,6290,5960,83935000,0.09134
6200,6410,6120,50230000,0.093416
6690,6900,6510,84385000,0.098161
6920,6980,6680,48010000,0.099941
6600,6980,6510,53365000,0.10083
6660,6960,6530,58550000,0.096827
6600,7040,6530,63860000,0.104093
7200,7280,7030,49515000,0.106613
7060,7100,6870,42495000,0.104686
7230,7640,7090,63020000,0.113286
7560,7560,7000,61225000,0.103796
6900,6960,6710,66455000,0.099941
6600,6950,6550,53560000,0.099348
6940,7180,6830,59790000,0.105872
7300,7380,7070,37585000,0.104982
7240,7270,6960,33635000,0.104389
6980,7010,6860,29215000,0.103796
7100,7360,6990,39980000,0.10691
7320,7440,7190,45535000,0.108393
7220,7540,7220,47295000,0.111507
7600,7740,7380,61120000,0.111062
7440,7540,7290,35250000,0.109431
7440,7550,7420,25975000,0.11121
7600,7620,7350,32810000,0.108986
